CMDLINE python bst.py
MEM 0.117188 1683662526.7722
MEM 14.582031 1683662526.8745
MEM 25.832031 1683662526.9764
MEM 33.562500 1683662527.0816
MEM 36.609375 1683662527.1851
MEM 40.804688 1683662527.2873
MEM 44.558594 1683662527.3917
MEM 49.371094 1683662527.4926
MEM 58.582031 1683662527.5978
MEM 64.648438 1683662527.6998
MEM 71.312500 1683662527.8011
MEM 71.550781 1683662527.9014
MEM 71.613281 1683662528.0016
MEM 71.769531 1683662528.1066
MEM 71.906250 1683662528.2108
MEM 71.906250 1683662528.3123
MEM 72.062500 1683662528.4125
MEM 72.062500 1683662528.5177
MEM 72.218750 1683662528.6184
MEM 72.218750 1683662528.7235
MEM 72.371094 1683662528.8271
MEM 72.371094 1683662528.9322
MEM 72.449219 1683662529.0351
MEM 72.527344 1683662529.1372
MEM 72.527344 1683662529.2411
MEM 72.570312 1683662529.3443
MEM 72.683594 1683662529.4445
MEM 72.683594 1683662529.5496
MEM 72.683594 1683662529.6548
MEM 72.839844 1683662529.7577
MEM 72.839844 1683662529.8595
MEM 72.839844 1683662529.9646
MEM 72.992188 1683662530.0698
MEM 72.992188 1683662530.1722
MEM 72.992188 1683662530.2774
MEM 72.996094 1683662530.3826
MEM 73.148438 1683662530.4878
MEM 73.148438 1683662530.5929
MEM 73.152344 1683662530.6982
MEM 73.152344 1683662530.8011
MEM 73.289062 1683662530.9025
MEM 73.289062 1683662531.0065
MEM 73.289062 1683662531.1116
MEM 73.292969 1683662531.2143
MEM 73.343750 1683662531.3195
MEM 73.441406 1683662531.4198
MEM 73.441406 1683662531.5250
MEM 73.449219 1683662531.6286
MEM 73.449219 1683662531.7309
MEM 73.593750 1683662531.8320
MEM 73.597656 1683662531.9351
MEM 73.597656 1683662532.0404
MEM 73.605469 1683662532.1436
MEM 73.605469 1683662532.2454
MEM 73.625000 1683662532.3505
MEM 73.753906 1683662532.4557
MEM 73.753906 1683662532.5608
MEM 73.761719 1683662532.6659
