CMDLINE python bst.py
MEM 0.140625 1683719960.1799
MEM 13.007812 1683719960.2803
MEM 22.347656 1683719960.3813
MEM 29.406250 1683719960.4821
MEM 34.140625 1683719960.5866
MEM 38.515625 1683719960.6918
MEM 41.011719 1683719960.7970
MEM 44.332031 1683719960.8976
MEM 46.144531 1683719961.0022
MEM 47.000000 1683719961.1075
MEM 47.285156 1683719961.2112
MEM 48.136719 1683719961.3131
MEM 49.351562 1683719961.4174
MEM 49.871094 1683719961.5190
MEM 50.359375 1683719961.6242
MEM 51.738281 1683719961.7256
MEM 53.273438 1683719961.8259
MEM 55.003906 1683719961.9289
MEM 57.394531 1683719962.0298
MEM 59.042969 1683719962.1350
MEM 60.507812 1683719962.2354
MEM 61.589844 1683719962.3357
MEM 63.933594 1683719962.4365
MEM 65.089844 1683719962.5368
MEM 67.722656 1683719962.6376
MEM 71.597656 1683719962.7409
MEM 71.796875 1683719962.8461
MEM 71.890625 1683719962.9469
MEM 72.074219 1683719963.0513
MEM 72.246094 1683719963.1519
MEM 72.390625 1683719963.2524
MEM 72.429688 1683719963.3547
MEM 72.601562 1683719963.4553
MEM 72.601562 1683719963.5589
MEM 72.789062 1683719963.6621
MEM 72.789062 1683719963.7661
MEM 72.792969 1683719963.8679
MEM 72.976562 1683719963.9725
MEM 72.976562 1683719964.0731
MEM 72.984375 1683719964.1783
MEM 73.164062 1683719964.2789
MEM 73.164062 1683719964.3792
MEM 73.167969 1683719964.4795
MEM 73.347656 1683719964.5821
MEM 73.347656 1683719964.6842
MEM 73.347656 1683719964.7852
MEM 73.531250 1683719964.8854
MEM 73.531250 1683719964.9863
MEM 73.531250 1683719965.0906
MEM 73.542969 1683719965.1939
MEM 73.718750 1683719965.2970
MEM 73.718750 1683719965.3975
MEM 73.718750 1683719965.5024
MEM 73.730469 1683719965.6043
MEM 73.906250 1683719965.7062
MEM 73.906250 1683719965.8112
MEM 73.910156 1683719965.9127
MEM 74.132812 1683719966.0144
MEM 74.277344 1683719966.1171
MEM 74.277344 1683719966.2189
MEM 74.277344 1683719966.3219
MEM 74.277344 1683719966.4226
MEM 74.277344 1683719966.5230
MEM 74.277344 1683719966.6233
MEM 74.277344 1683719966.7235
MEM 74.277344 1683719966.8285
MEM 74.277344 1683719966.9288
MEM 74.277344 1683719967.0295
MEM 74.277344 1683719967.1316
MEM 74.277344 1683719967.2320
MEM 74.277344 1683719967.3329
MEM 74.445312 1683719967.4331
MEM 74.445312 1683719967.5334
MEM 74.445312 1683719967.6367
MEM 74.457031 1683719967.7419
MEM 74.457031 1683719967.8423
MEM 74.625000 1683719967.9463
MEM 74.628906 1683719968.0466
MEM 74.628906 1683719968.1469
MEM 74.628906 1683719968.2496
MEM 74.628906 1683719968.3502
MEM 74.628906 1683719968.4509
MEM 74.636719 1683719968.5531
MEM 74.816406 1683719968.6534
MEM 74.816406 1683719968.7537
MEM 74.816406 1683719968.8541
MEM 74.816406 1683719968.9547
MEM 74.824219 1683719969.0557
MEM 75.089844 1683719969.1610
MEM 72.386719 1683719969.2612
MEM 72.386719 1683719969.3625
MEM 72.386719 1683719969.4659
MEM 72.386719 1683719969.5705
MEM 65.726562 1683719969.6710
MEM 65.726562 1683719969.7715
MEM 65.726562 1683719969.8735
MEM 65.726562 1683719969.9758
MEM 65.726562 1683719970.0769
MEM 65.726562 1683719970.1815
MEM 65.726562 1683719970.2867
MEM 65.718750 1683719970.3871
MEM 65.718750 1683719970.4878
MEM 65.718750 1683719970.5882
MEM 65.812500 1683719970.6923
MEM 65.812500 1683719970.7974
MEM 65.812500 1683719970.9026
MEM 65.812500 1683719971.0028
MEM 65.816406 1683719971.1032
MEM 65.816406 1683719971.2083
MEM 65.816406 1683719971.3135
MEM 66.000000 1683719971.4187
MEM 66.000000 1683719971.5238
MEM 66.000000 1683719971.6290
MEM 65.992188 1683719971.7342
MEM 65.996094 1683719971.8384
MEM 65.996094 1683719971.9387
MEM 65.996094 1683719972.0400
MEM 66.164062 1683719972.1408
MEM 66.164062 1683719972.2416
MEM 66.164062 1683719972.3432
MEM 66.164062 1683719972.4483
MEM 66.167969 1683719972.5535
MEM 66.167969 1683719972.6544
MEM 66.167969 1683719972.7595
MEM 66.179688 1683719972.8598
MEM 66.347656 1683719972.9603
MEM 66.347656 1683719973.0631
MEM 66.347656 1683719973.1637
MEM 66.347656 1683719973.2669
MEM 66.347656 1683719973.3711
MEM 66.367188 1683719973.4721
MEM 66.542969 1683719973.5763
MEM 66.710938 1683719973.6815
MEM 66.710938 1683719973.7822
MEM 66.710938 1683719973.8842
MEM 66.710938 1683719973.9877
MEM 66.710938 1683719974.0881
MEM 66.710938 1683719974.1884
MEM 66.710938 1683719974.2889
MEM 66.710938 1683719974.3941
MEM 66.710938 1683719974.4945
MEM 66.722656 1683719974.5967
MEM 66.722656 1683719974.7019
MEM 66.722656 1683719974.8022
MEM 66.722656 1683719974.9074
MEM 66.730469 1683719975.0117
MEM 66.730469 1683719975.1169
MEM 66.667969 1683719975.2172
MEM 66.667969 1683719975.3224
MEM 66.671875 1683719975.4228
MEM 66.839844 1683719975.5271
MEM 66.839844 1683719975.6283
MEM 66.839844 1683719975.7307
MEM 66.839844 1683719975.8321
MEM 66.851562 1683719975.9329
MEM 66.851562 1683719976.0337
MEM 66.851562 1683719976.1389
MEM 66.851562 1683719976.2398
MEM 66.851562 1683719976.3409
MEM 67.027344 1683719976.4419
MEM 67.027344 1683719976.5469
MEM 67.027344 1683719976.6509
MEM 67.027344 1683719976.7550
MEM 67.039062 1683719976.8554
MEM 67.039062 1683719976.9577
MEM 67.039062 1683719977.0587
MEM 67.039062 1683719977.1603
MEM 67.039062 1683719977.2648
MEM 67.214844 1683719977.3669
MEM 67.214844 1683719977.4687
MEM 67.222656 1683719977.5717
MEM 67.222656 1683719977.6770
MEM 67.222656 1683719977.7788
MEM 67.234375 1683719977.8810
MEM 67.234375 1683719977.9824
MEM 67.234375 1683719978.0846
MEM 67.433594 1683719978.1879
MEM 67.656250 1683719978.2885
MEM 67.656250 1683719978.3937
MEM 67.656250 1683719978.4939
MEM 67.656250 1683719978.5991
MEM 67.656250 1683719978.7019
MEM 67.656250 1683719978.8045
MEM 67.656250 1683719978.9096
MEM 67.656250 1683719979.0111
MEM 67.656250 1683719979.1131
MEM 67.656250 1683719979.2159
MEM 67.656250 1683719979.3170
MEM 67.656250 1683719979.4176
MEM 67.656250 1683719979.5206
MEM 67.656250 1683719979.6215
MEM 67.656250 1683719979.7231
MEM 67.656250 1683719979.8241
MEM 67.656250 1683719979.9263
MEM 67.656250 1683719980.0266
MEM 67.656250 1683719980.1273
MEM 67.656250 1683719980.2319
MEM 67.656250 1683719980.3328
MEM 67.656250 1683719980.4360
MEM 67.761719 1683719980.5379
MEM 67.761719 1683719980.6384
MEM 67.761719 1683719980.7389
MEM 67.761719 1683719980.8403
MEM 67.761719 1683719980.9408
MEM 67.761719 1683719981.0413
MEM 67.761719 1683719981.1416
MEM 67.761719 1683719981.2440
MEM 67.761719 1683719981.3485
MEM 67.761719 1683719981.4538
MEM 67.761719 1683719981.5551
MEM 67.761719 1683719981.6580
MEM 67.945312 1683719981.7594
MEM 67.945312 1683719981.8608
MEM 67.945312 1683719981.9611
MEM 67.945312 1683719982.0624
MEM 67.945312 1683719982.1626
MEM 67.949219 1683719982.2631
MEM 67.949219 1683719982.3640
MEM 67.949219 1683719982.4649
MEM 67.949219 1683719982.5697
MEM 67.949219 1683719982.6702
MEM 67.949219 1683719982.7708
MEM 67.953125 1683719982.8714
MEM 68.132812 1683719982.9755
MEM 68.132812 1683719983.0805
MEM 68.132812 1683719983.1810
MEM 68.132812 1683719983.2862
MEM 68.136719 1683719983.3883
MEM 68.136719 1683719983.4887
MEM 68.136719 1683719983.5939
MEM 68.136719 1683719983.6969
MEM 68.140625 1683719983.7993
MEM 68.437500 1683719983.9029
MEM 68.656250 1683719984.0048
MEM 68.656250 1683719984.1100
MEM 68.656250 1683719984.2124
MEM 68.656250 1683719984.3134
MEM 68.656250 1683719984.4180
MEM 68.656250 1683719984.5232
MEM 68.656250 1683719984.6273
MEM 68.656250 1683719984.7282
MEM 68.656250 1683719984.8285
MEM 68.656250 1683719984.9300
MEM 68.656250 1683719985.0338
MEM 68.656250 1683719985.1390
MEM 68.656250 1683719985.2402
MEM 68.656250 1683719985.3433
MEM 68.656250 1683719985.4473
MEM 68.656250 1683719985.5482
MEM 68.656250 1683719985.6534
MEM 68.656250 1683719985.7585
MEM 68.656250 1683719985.8606
MEM 68.656250 1683719985.9658
MEM 68.656250 1683719986.0662
MEM 68.656250 1683719986.1714
MEM 68.656250 1683719986.2764
MEM 68.656250 1683719986.3800
MEM 68.656250 1683719986.4809
MEM 68.695312 1683719986.5812
MEM 68.695312 1683719986.6828
MEM 68.695312 1683719986.7854
MEM 68.695312 1683719986.8879
MEM 68.695312 1683719986.9881
MEM 68.703125 1683719987.0898
MEM 68.703125 1683719987.1934
MEM 68.703125 1683719987.2986
MEM 68.703125 1683719987.4021
MEM 68.703125 1683719987.5025
MEM 68.703125 1683719987.6047
MEM 68.703125 1683719987.7063
MEM 68.875000 1683719987.8076
MEM 68.875000 1683719987.9078
MEM 68.875000 1683719988.0099
MEM 68.875000 1683719988.1151
MEM 68.875000 1683719988.2159
MEM 68.882812 1683719988.3180
MEM 68.882812 1683719988.4188
MEM 68.882812 1683719988.5206
MEM 68.882812 1683719988.6214
MEM 68.882812 1683719988.7229
MEM 68.882812 1683719988.8240
MEM 68.882812 1683719988.9276
MEM 68.882812 1683719989.0280
MEM 69.007812 1683719989.1332
MEM 69.062500 1683719989.2352
MEM 69.062500 1683719989.3370
