CMDLINE python bst.py
MEM 74.121094 1683720317.4463
MEM 74.121094 1683720317.5469
MEM 74.132812 1683720317.6488
MEM 74.191406 1683720317.7491
MEM 74.308594 1683720317.8514
MEM 74.308594 1683720317.9542
MEM 74.308594 1683720318.0559
MEM 74.320312 1683720318.1580
MEM 74.324219 1683720318.2611
MEM 74.496094 1683720318.3615
MEM 74.496094 1683720318.4645
MEM 74.496094 1683720318.5647
MEM 74.496094 1683720318.6660
MEM 74.738281 1683720318.7662
MEM 75.031250 1683720318.8700
MEM 75.031250 1683720318.9705
MEM 75.031250 1683720319.0710
MEM 75.031250 1683720319.1713
MEM 75.031250 1683720319.2746
MEM 75.031250 1683720319.3778
MEM 75.031250 1683720319.4801
MEM 75.031250 1683720319.5806
MEM 75.031250 1683720319.6809
MEM 75.031250 1683720319.7861
MEM 75.031250 1683720319.8913
MEM 75.031250 1683720319.9965
MEM 75.031250 1683720320.0999
MEM 75.054688 1683720320.2004
MEM 75.054688 1683720320.3013
MEM 75.054688 1683720320.4049
MEM 75.054688 1683720320.5055
MEM 75.054688 1683720320.6069
MEM 75.054688 1683720320.7082
MEM 75.054688 1683720320.8112
MEM 75.234375 1683720320.9131
MEM 75.234375 1683720321.0156
MEM 75.234375 1683720321.1159
MEM 75.234375 1683720321.2179
MEM 75.234375 1683720321.3209
MEM 75.238281 1683720321.4217
MEM 75.238281 1683720321.5267
MEM 75.421875 1683720321.6278
MEM 75.421875 1683720321.7324
MEM 75.421875 1683720321.8371
MEM 75.421875 1683720321.9388
MEM 75.421875 1683720322.0395
MEM 75.425781 1683720322.1401
MEM 75.425781 1683720322.2406
MEM 75.425781 1683720322.3446
MEM 75.437500 1683720322.4448
MEM 72.593750 1683720322.5481
MEM 71.535156 1683720322.6484
MEM 70.261719 1683720322.7488
MEM 68.882812 1683720322.8499
MEM 68.882812 1683720322.9502
MEM 68.886719 1683720323.0508
MEM 68.886719 1683720323.1551
MEM 69.015625 1683720323.2569
MEM 69.281250 1683720323.3586
MEM 69.292969 1683720323.4620
MEM 69.292969 1683720323.5624
MEM 69.292969 1683720323.6659
MEM 69.292969 1683720323.7666
MEM 69.292969 1683720323.8679
MEM 69.292969 1683720323.9694
MEM 69.292969 1683720324.0697
MEM 69.292969 1683720324.1717
MEM 69.292969 1683720324.2720
MEM 69.292969 1683720324.3724
MEM 69.292969 1683720324.4728
MEM 69.292969 1683720324.5731
MEM 69.292969 1683720324.6736
MEM 69.292969 1683720324.7741
MEM 69.292969 1683720324.8764
MEM 69.292969 1683720324.9780
MEM 69.292969 1683720325.0785
MEM 69.292969 1683720325.1792
MEM 69.292969 1683720325.2797
MEM 69.292969 1683720325.3802
MEM 69.292969 1683720325.4808
MEM 69.292969 1683720325.5814
MEM 69.425781 1683720325.6817
MEM 69.429688 1683720325.7861
MEM 69.429688 1683720325.8889
MEM 69.429688 1683720325.9911
MEM 69.429688 1683720326.0945
MEM 69.437500 1683720326.1993
MEM 69.437500 1683720326.3009
MEM 69.437500 1683720326.4012
MEM 69.437500 1683720326.5046
MEM 69.437500 1683720326.6067
MEM 69.609375 1683720326.7072
MEM 69.609375 1683720326.8076
MEM 69.609375 1683720326.9118
MEM 69.609375 1683720327.0136
MEM 69.621094 1683720327.1166
MEM 69.621094 1683720327.2197
MEM 69.621094 1683720327.3248
MEM 69.621094 1683720327.4280
MEM 69.621094 1683720327.5285
MEM 69.671875 1683720327.6328
MEM 69.796875 1683720327.7331
MEM 69.796875 1683720327.8340
MEM 69.796875 1683720327.9346
MEM 69.796875 1683720328.0359
MEM 69.808594 1683720328.1368
MEM 69.808594 1683720328.2371
MEM 69.808594 1683720328.3375
MEM 70.023438 1683720328.4378
MEM 70.277344 1683720328.5407
MEM 70.277344 1683720328.6433
MEM 70.277344 1683720328.7451
MEM 70.277344 1683720328.8474
MEM 70.277344 1683720328.9482
MEM 70.277344 1683720329.0505
MEM 70.277344 1683720329.1509
MEM 70.277344 1683720329.2547
MEM 70.277344 1683720329.3561
MEM 70.277344 1683720329.4569
MEM 70.277344 1683720329.5578
MEM 70.277344 1683720329.6588
MEM 70.277344 1683720329.7596
MEM 70.277344 1683720329.8606
MEM 70.277344 1683720329.9615
MEM 70.277344 1683720330.0650
MEM 70.277344 1683720330.1665
MEM 70.277344 1683720330.2704
MEM 70.277344 1683720330.3721
MEM 70.277344 1683720330.4733
MEM 70.277344 1683720330.5777
MEM 70.281250 1683720330.6791
MEM 70.355469 1683720330.7827
MEM 70.355469 1683720330.8853
MEM 70.355469 1683720330.9857
MEM 70.355469 1683720331.0865
MEM 70.355469 1683720331.1869
MEM 70.355469 1683720331.2875
MEM 70.355469 1683720331.3879
MEM 70.355469 1683720331.4890
MEM 70.355469 1683720331.5918
MEM 70.355469 1683720331.6931
MEM 70.527344 1683720331.7975
MEM 70.527344 1683720331.8994
MEM 70.527344 1683720332.0013
MEM 70.527344 1683720332.1016
MEM 70.527344 1683720332.2037
MEM 70.527344 1683720332.3043
MEM 70.527344 1683720332.4069
MEM 70.527344 1683720332.5102
MEM 70.527344 1683720332.6120
MEM 70.542969 1683720332.7162
MEM 71.058594 1683720332.8179
MEM 71.261719 1683720332.9184
MEM 71.261719 1683720333.0196
MEM 71.261719 1683720333.1233
MEM 71.261719 1683720333.2257
MEM 71.261719 1683720333.3277
MEM 71.261719 1683720333.4281
MEM 71.261719 1683720333.5310
MEM 71.261719 1683720333.6316
MEM 71.261719 1683720333.7343
MEM 71.261719 1683720333.8346
MEM 71.261719 1683720333.9370
MEM 71.261719 1683720334.0377
MEM 71.261719 1683720334.1386
MEM 71.261719 1683720334.2391
MEM 71.261719 1683720334.3403
MEM 71.261719 1683720334.4448
MEM 71.261719 1683720334.5454
MEM 71.261719 1683720334.6467
MEM 71.261719 1683720334.7506
MEM 71.261719 1683720334.8510
MEM 71.261719 1683720334.9523
MEM 71.261719 1683720335.0537
MEM 71.261719 1683720335.1554
MEM 71.261719 1683720335.2569
MEM 71.261719 1683720335.3575
MEM 71.261719 1683720335.4614
MEM 71.261719 1683720335.5616
MEM 71.261719 1683720335.6668
MEM 71.261719 1683720335.7706
MEM 71.261719 1683720335.8739
MEM 71.261719 1683720335.9743
MEM 71.261719 1683720336.0769
MEM 71.261719 1683720336.1797
MEM 71.261719 1683720336.2840
MEM 71.261719 1683720336.3873
MEM 71.261719 1683720336.4895
MEM 71.277344 1683720336.5947
MEM 71.277344 1683720336.6999
MEM 71.277344 1683720336.8004
MEM 71.277344 1683720336.9044
MEM 71.277344 1683720337.0084
MEM 71.277344 1683720337.1087
MEM 71.277344 1683720337.2115
MEM 71.277344 1683720337.3120
MEM 71.277344 1683720337.4172
MEM 71.277344 1683720337.5192
MEM 71.277344 1683720337.6217
MEM 71.308594 1683720337.7231
MEM 71.453125 1683720337.8255
MEM 71.453125 1683720337.9304
MEM 71.453125 1683720338.0317
MEM 71.453125 1683720338.1321
MEM 71.460938 1683720338.2327
MEM 71.460938 1683720338.3337
MEM 71.460938 1683720338.4365
MEM 71.460938 1683720338.5381
MEM 71.460938 1683720338.6412
MEM 71.460938 1683720338.7417
MEM 71.460938 1683720338.8460
MEM 71.460938 1683720338.9505
MEM 71.464844 1683720339.0517
MEM 71.636719 1683720339.1520
MEM 71.636719 1683720339.2561
MEM 71.636719 1683720339.3565
MEM 71.636719 1683720339.4574
MEM 71.636719 1683720339.5578
MEM 71.644531 1683720339.6593
MEM 71.644531 1683720339.7611
MEM 71.644531 1683720339.8663
MEM 71.644531 1683720339.9699
MEM 71.644531 1683720340.0743
MEM 71.644531 1683720340.1764
MEM 71.644531 1683720340.2781
MEM 71.652344 1683720340.3833
MEM 71.812500 1683720340.4835
MEM 71.824219 1683720340.5845
MEM 71.824219 1683720340.6848
MEM 71.824219 1683720340.7892
MEM 71.824219 1683720340.8898
MEM 71.824219 1683720340.9925
MEM 71.832031 1683720341.0949
MEM 71.832031 1683720341.1955
MEM 71.832031 1683720341.2968
MEM 71.839844 1683720341.3972
MEM 71.867188 1683720341.4998
MEM 72.246094 1683720341.6000
MEM 72.246094 1683720341.7011
MEM 72.246094 1683720341.8033
MEM 72.246094 1683720341.9069
MEM 72.246094 1683720342.0072
MEM 72.246094 1683720342.1101
MEM 72.246094 1683720342.2119
MEM 72.246094 1683720342.3134
MEM 72.246094 1683720342.4186
MEM 72.246094 1683720342.5188
MEM 72.246094 1683720342.6199
MEM 72.246094 1683720342.7210
MEM 72.246094 1683720342.8244
MEM 72.246094 1683720342.9265
MEM 72.246094 1683720343.0283
MEM 72.246094 1683720343.1285
MEM 72.246094 1683720343.2301
MEM 72.246094 1683720343.3329
MEM 72.246094 1683720343.4346
MEM 72.246094 1683720343.5356
MEM 72.246094 1683720343.6380
MEM 72.246094 1683720343.7400
MEM 72.246094 1683720343.8451
MEM 72.246094 1683720343.9461
MEM 72.246094 1683720344.0467
MEM 72.246094 1683720344.1478
MEM 72.246094 1683720344.2510
MEM 72.246094 1683720344.3513
MEM 72.246094 1683720344.4558
MEM 72.246094 1683720344.5582
MEM 72.246094 1683720344.6608
MEM 72.367188 1683720344.7616
MEM 72.367188 1683720344.8642
