CMDLINE python bst.py
MEM 0.136719 1683662486.9780
MEM 14.476562 1683662487.0797
MEM 25.730469 1683662487.1826
MEM 33.636719 1683662487.2829
MEM 36.359375 1683662487.3850
MEM 40.882812 1683662487.4863
MEM 44.308594 1683662487.5914
MEM 48.398438 1683662487.6949
MEM 56.652344 1683662487.7964
MEM 63.226562 1683662487.8966
MEM 69.800781 1683662487.9977
MEM 71.781250 1683662488.1015
MEM 71.835938 1683662488.2041
MEM 71.992188 1683662488.3054
MEM 72.003906 1683662488.4072
MEM 72.144531 1683662488.5092
MEM 72.296875 1683662488.6111
MEM 72.296875 1683662488.7141
MEM 72.449219 1683662488.8183
MEM 72.453125 1683662488.9213
MEM 72.480469 1683662489.0218
MEM 72.609375 1683662489.1227
MEM 72.609375 1683662489.2274
MEM 72.656250 1683662489.3282
MEM 72.761719 1683662489.4317
MEM 72.761719 1683662489.5320
MEM 72.761719 1683662489.6363
MEM 72.761719 1683662489.7415
MEM 72.906250 1683662489.8418
MEM 72.917969 1683662489.9421
MEM 72.917969 1683662490.0437
MEM 72.941406 1683662490.1489
MEM 73.074219 1683662490.2500
MEM 73.074219 1683662490.3510
MEM 73.074219 1683662490.4515
MEM 73.214844 1683662490.5534
MEM 73.226562 1683662490.6554
MEM 73.226562 1683662490.7559
MEM 73.230469 1683662490.8611
MEM 73.382812 1683662490.9663
MEM 73.382812 1683662491.0669
MEM 73.382812 1683662491.1683
MEM 73.386719 1683662491.2685
MEM 73.386719 1683662491.3688
MEM 73.523438 1683662491.4698
MEM 73.523438 1683662491.5714
MEM 73.527344 1683662491.6767
MEM 73.527344 1683662491.7819
MEM 73.675781 1683662491.8855
MEM 73.675781 1683662491.9860
MEM 73.675781 1683662492.0866
MEM 73.683594 1683662492.1873
MEM 73.683594 1683662492.2876
MEM 73.683594 1683662492.3881
MEM 73.832031 1683662492.4890
MEM 73.832031 1683662492.5942
MEM 73.839844 1683662492.6980
MEM 73.839844 1683662492.7993
MEM 73.839844 1683662492.9018
MEM 73.839844 1683662493.0070
MEM 73.988281 1683662493.1076
MEM 73.988281 1683662493.2102
MEM 73.996094 1683662493.3109
MEM 73.996094 1683662493.4151
MEM 73.996094 1683662493.5203
MEM 74.093750 1683662493.6254
MEM 74.144531 1683662493.7261
MEM 74.144531 1683662493.8313
MEM 74.148438 1683662493.9317
MEM 74.152344 1683662494.0327
MEM 74.152344 1683662494.1372
MEM 74.289062 1683662494.2423
MEM 74.296875 1683662494.3447
MEM 74.296875 1683662494.4453
MEM 74.308594 1683662494.5504
MEM 74.308594 1683662494.6556
MEM 74.308594 1683662494.7607
MEM 74.343750 1683662494.8643
MEM 74.453125 1683662494.9694
MEM 74.453125 1683662495.0746
MEM 74.464844 1683662495.1797
MEM 74.464844 1683662495.2812
MEM 74.812500 1683662495.3851
MEM 75.246094 1683662495.4853
MEM 75.246094 1683662495.5905
MEM 75.246094 1683662495.6956
MEM 75.246094 1683662495.8008
MEM 75.246094 1683662495.9017
MEM 75.246094 1683662496.0038
MEM 75.246094 1683662496.1090
MEM 75.246094 1683662496.2141
MEM 75.246094 1683662496.3183
MEM 75.246094 1683662496.4235
MEM 75.246094 1683662496.5286
MEM 75.246094 1683662496.6325
MEM 75.246094 1683662496.7350
MEM 75.246094 1683662496.8356
MEM 75.246094 1683662496.9399
MEM 75.246094 1683662497.0451
MEM 75.246094 1683662497.1502
MEM 75.246094 1683662497.2517
MEM 75.246094 1683662497.3524
MEM 75.246094 1683662497.4576
MEM 75.246094 1683662497.5628
MEM 75.246094 1683662497.6643
MEM 75.246094 1683662497.7695
MEM 75.246094 1683662497.8726
MEM 75.246094 1683662497.9777
MEM 75.246094 1683662498.0829
MEM 75.246094 1683662498.1836
MEM 75.246094 1683662498.2887
MEM 75.246094 1683662498.3939
MEM 75.246094 1683662498.4991
MEM 75.246094 1683662498.6032
MEM 75.246094 1683662498.7053
MEM 75.246094 1683662498.8105
MEM 75.246094 1683662498.9157
MEM 75.246094 1683662499.0209
MEM 75.246094 1683662499.1261
MEM 75.246094 1683662499.2312
MEM 75.246094 1683662499.3314
MEM 75.250000 1683662499.4366
MEM 75.367188 1683662499.5417
MEM 75.367188 1683662499.6469
MEM 75.371094 1683662499.7520
MEM 75.371094 1683662499.8572
MEM 75.371094 1683662499.9623
MEM 75.371094 1683662500.0675
MEM 75.773438 1683662500.1727
MEM 76.230469 1683662500.2779
MEM 76.230469 1683662500.3831
MEM 76.230469 1683662500.4860
MEM 76.230469 1683662500.5912
MEM 76.230469 1683662500.6964
MEM 76.230469 1683662500.7974
MEM 76.230469 1683662500.9018
MEM 76.230469 1683662501.0069
MEM 76.230469 1683662501.1094
MEM 76.230469 1683662501.2145
MEM 76.230469 1683662501.3178
MEM 76.230469 1683662501.4184
MEM 76.230469 1683662501.5235
MEM 76.230469 1683662501.6287
MEM 76.230469 1683662501.7324
MEM 76.230469 1683662501.8350
MEM 76.230469 1683662501.9367
MEM 76.230469 1683662502.0419
MEM 76.230469 1683662502.1470
MEM 76.230469 1683662502.2522
MEM 75.246094 1683662502.3574
MEM 75.246094 1683662502.4625
MEM 75.246094 1683662502.5677
MEM 75.246094 1683662502.6683
MEM 75.246094 1683662502.7735
MEM 75.246094 1683662502.8764
MEM 75.246094 1683662502.9816
MEM 75.343750 1683662503.0865
MEM 75.792969 1683662503.1916
MEM 76.085938 1683662503.2964
