CMDLINE python bst.py
MEM 0.113281 1683662916.5615
MEM 14.222656 1683662916.6628
MEM 25.675781 1683662916.7657
MEM 33.535156 1683662916.8665
MEM 36.285156 1683662916.9706
MEM 40.734375 1683662917.0719
MEM 44.386719 1683662917.1762
MEM 46.917969 1683662917.2814
MEM 50.835938 1683662917.3820
MEM 54.855469 1683662917.4825
MEM 60.378906 1683662917.5835
MEM 63.972656 1683662917.6838
MEM 67.867188 1683662917.7841
MEM 71.347656 1683662917.8858
MEM 71.500000 1683662917.9860
MEM 71.562500 1683662918.0868
MEM 71.718750 1683662918.1872
MEM 71.855469 1683662918.2880
MEM 71.855469 1683662918.3931
MEM 72.011719 1683662918.4984
MEM 72.039062 1683662918.5995
MEM 72.167969 1683662918.7031
MEM 72.175781 1683662918.8055
MEM 72.320312 1683662918.9107
MEM 72.320312 1683662919.0159
MEM 72.472656 1683662919.1210
MEM 72.476562 1683662919.2262
MEM 72.488281 1683662919.3314
MEM 72.605469 1683662919.4366
MEM 72.632812 1683662919.5418
MEM 72.632812 1683662919.6470
MEM 72.683594 1683662919.7473
MEM 72.789062 1683662919.8483
MEM 72.789062 1683662919.9535
MEM 72.800781 1683662920.0566
MEM 72.941406 1683662920.1582
MEM 72.941406 1683662920.2607
MEM 72.941406 1683662920.3626
MEM 72.941406 1683662920.4632
MEM 73.097656 1683662920.5680
MEM 73.097656 1683662920.6693
MEM 73.097656 1683662920.7745
MEM 73.097656 1683662920.8766
MEM 73.238281 1683662920.9818
MEM 73.238281 1683662921.0825
MEM 73.238281 1683662921.1872
MEM 73.238281 1683662921.2918
MEM 73.238281 1683662921.3928
MEM 73.390625 1683662921.4950
MEM 73.390625 1683662921.5957
MEM 73.394531 1683662921.7010
MEM 73.394531 1683662921.8052
MEM 73.496094 1683662921.9097
MEM 73.546875 1683662922.0102
MEM 73.546875 1683662922.1111
MEM 73.550781 1683662922.2126
MEM 73.550781 1683662922.3175
MEM 73.550781 1683662922.4184
MEM 73.550781 1683662922.5218
MEM 73.703125 1683662922.6236
MEM 73.703125 1683662922.7272
MEM 73.703125 1683662922.8300
MEM 73.703125 1683662922.9353
MEM 73.707031 1683662923.0363
MEM 73.707031 1683662923.1367
MEM 73.707031 1683662923.2372
MEM 73.855469 1683662923.3377
MEM 73.855469 1683662923.4382
MEM 73.863281 1683662923.5413
MEM 73.863281 1683662923.6423
MEM 73.863281 1683662923.7439
MEM 73.863281 1683662923.8488
MEM 74.011719 1683662923.9521
MEM 74.011719 1683662924.0527
MEM 74.011719 1683662924.1574
MEM 74.019531 1683662924.2609
MEM 74.019531 1683662924.3641
MEM 74.019531 1683662924.4693
MEM 74.132812 1683662924.5744
MEM 74.167969 1683662924.6755
MEM 74.167969 1683662924.7794
MEM 74.175781 1683662924.8799
MEM 74.175781 1683662924.9817
MEM 74.175781 1683662925.0820
MEM 74.175781 1683662925.1838
MEM 74.320312 1683662925.2860
MEM 74.320312 1683662925.3912
MEM 74.332031 1683662925.4964
MEM 74.332031 1683662925.5985
MEM 74.332031 1683662925.7027
MEM 74.332031 1683662925.8036
MEM 74.332031 1683662925.9088
MEM 74.460938 1683662926.0117
MEM 74.460938 1683662926.1143
MEM 74.460938 1683662926.2160
MEM 74.472656 1683662926.3177
MEM 74.472656 1683662926.4193
MEM 74.679688 1683662926.5236
MEM 74.957031 1683662926.6279
MEM 74.957031 1683662926.7304
MEM 74.957031 1683662926.8324
MEM 74.957031 1683662926.9376
MEM 74.957031 1683662927.0428
MEM 74.957031 1683662927.1431
MEM 74.957031 1683662927.2483
MEM 74.957031 1683662927.3534
MEM 74.957031 1683662927.4536
MEM 74.957031 1683662927.5565
MEM 74.957031 1683662927.6580
MEM 74.957031 1683662927.7612
MEM 74.957031 1683662927.8664
MEM 74.957031 1683662927.9716
MEM 74.957031 1683662928.0767
MEM 74.957031 1683662928.1769
MEM 74.957031 1683662928.2820
MEM 74.957031 1683662928.3857
MEM 74.957031 1683662928.4861
MEM 74.957031 1683662928.5913
MEM 74.957031 1683662928.6926
MEM 74.957031 1683662928.7964
MEM 74.957031 1683662928.8977
MEM 74.957031 1683662928.9986
MEM 74.957031 1683662929.0991
MEM 75.082031 1683662929.2027
MEM 75.082031 1683662929.3043
MEM 75.082031 1683662929.4095
MEM 75.082031 1683662929.5111
MEM 75.082031 1683662929.6117
MEM 75.082031 1683662929.7154
MEM 75.082031 1683662929.8193
MEM 75.082031 1683662929.9203
MEM 75.125000 1683662930.0243
MEM 75.238281 1683662930.1294
MEM 75.238281 1683662930.2346
MEM 75.238281 1683662930.3360
MEM 75.238281 1683662930.4411
MEM 75.238281 1683662930.5463
MEM 75.238281 1683662930.6485
MEM 75.238281 1683662930.7487
MEM 75.238281 1683662930.8538
MEM 75.300781 1683662930.9578
MEM 75.390625 1683662931.0588
MEM 75.390625 1683662931.1640
MEM 75.394531 1683662931.2678
MEM 75.394531 1683662931.3727
MEM 75.394531 1683662931.4778
MEM 75.394531 1683662931.5789
MEM 75.464844 1683662931.6841
MEM 75.765625 1683662931.7844
MEM 75.941406 1683662931.8866
MEM 75.941406 1683662931.9918
MEM 75.941406 1683662932.0944
MEM 75.941406 1683662932.1961
MEM 75.941406 1683662932.3048
MEM 75.941406 1683662932.4058
MEM 75.941406 1683662932.5073
MEM 75.941406 1683662932.6105
MEM 75.941406 1683662932.7107
MEM 75.941406 1683662932.8130
MEM 75.941406 1683662932.9134
MEM 75.941406 1683662933.0142
MEM 75.941406 1683662933.1153
MEM 75.941406 1683662933.2156
MEM 75.941406 1683662933.3194
MEM 75.941406 1683662933.4198
MEM 75.941406 1683662933.5205
MEM 75.941406 1683662933.6217
MEM 75.941406 1683662933.7227
MEM 75.941406 1683662933.8249
MEM 75.941406 1683662933.9276
MEM 75.941406 1683662934.0294
MEM 75.941406 1683662934.1297
MEM 75.941406 1683662934.2326
MEM 75.941406 1683662934.3343
MEM 75.941406 1683662934.4360
MEM 75.941406 1683662934.5390
MEM 75.941406 1683662934.6395
MEM 75.941406 1683662934.7414
MEM 75.941406 1683662934.8438
MEM 75.941406 1683662934.9490
MEM 75.941406 1683662935.0542
MEM 75.953125 1683662935.1576
MEM 75.996094 1683662935.2579
MEM 75.996094 1683662935.3590
MEM 76.003906 1683662935.4596
MEM 76.003906 1683662935.5635
MEM 76.003906 1683662935.6687
MEM 76.003906 1683662935.7717
MEM 76.003906 1683662935.8769
MEM 76.003906 1683662935.9772
MEM 76.003906 1683662936.0776
MEM 76.003906 1683662936.1781
MEM 76.015625 1683662936.2792
MEM 76.152344 1683662936.3799
MEM 76.152344 1683662936.4847
